"Date","Dialog_Turn","Discussion_Id","Post_Counter","Quote_Author","Quote_Id","Quote_Text","Response_Author","Response_Id","Response_Text","Subtopic","Time","Topic","Word_Count"
"04-15-2013",1,"17119","186","Easyrider","472326","'Gay' Couple Face Trial For Raping At Least 5 Of Their 9 Adopted Sons... 'Gay' couple face trial for raping at least 5 of their 9 adopted sons... | RedFlagNews.com","Accipiter","472329","It hasnt gone to trial yet you stupid A hole. Another curious thing is when I google it only conservative conspiracy theory web sights came up. Stupid people like you are now the minority, this was demonstrated by the last presidential election.","obama-supports-gay-marriage","04:17 AM","gay-rights-debates","46"
"04-15-2013",1,"17119","187","Accipiter","472329","It hasnt gone to trial yet you stupid A hole. Another curious thing is when I google it only conservative conspiracy theory web sights came up. Stupid people like you are now the minority, this was demonstrated by the last presidential election.","Easyrider","472334","Did I argue they were guilty yet, you worthless blood monkey? You're the mental midget who never made it to college, and probably never made it to a high school graduation. Grow up.","obama-supports-gay-marriage","09:23 AM","gay-rights-debates","38"
"04-16-2013",1,"17119","188","Easyrider","472334","Did I argue they were guilty yet, you worthless blood monkey? You're the mental midget who never made it to college, and probably never made it to a high school graduation. Grow up.","Accipiter","472357","Well whatever the case gay marriage is going to be legalized soon, there is nothing you impotent pious bigots can do about it and that brings me no end of delight. Jesus is fraud!","obama-supports-gay-marriage","03:12 AM","gay-rights-debates","37"
"04-16-2013",1,"17119","189","Accipiter","472357","Well whatever the case gay marriage is going to be legalized soon, there is nothing you impotent pious bigots can do about it and that brings me no end of delight. Jesus is fraud!","Easyrider","472360","You're full of cr*p and God's going to cast all you unrepentant Sodom and Gomorrah heathens into the Pit.","obama-supports-gay-marriage","08:38 AM","gay-rights-debates","20"
"04-16-2013",1,"17119","190","Easyrider","472360","You're full of cr*p and God's going to cast all you unrepentant Sodom and Gomorrah heathens into the Pit.","Accipiter","472361","Only stupid people believe that and always remember, you are the minority now. Jesus likes to have anal sex with little boys!","obama-supports-gay-marriage","09:00 AM","gay-rights-debates","25"
"04-17-2013",1,"17119","191","Accipiter","472361","Only stupid people believe that and always remember, you are the minority now. Jesus likes to have anal sex with little boys!","Easyrider","472392","You're an imbecile.","obama-supports-gay-marriage","08:06 AM","gay-rights-debates","4"
"04-17-2013",1,"17119","192","Easyrider","472392","You're an imbecile.","Accipiter","472418","You're a pedophile.","obama-supports-gay-marriage","02:59 PM","gay-rights-debates","4"
"04-17-2013",1,"17119","193","Accipiter","472418","You're a pedophile.","Easyrider","472436","You're a lying imbecile.","obama-supports-gay-marriage","07:15 PM","gay-rights-debates","5"
"04-17-2013",1,"17119","194","Easyrider","472436","You're a lying imbecile.","Accipiter","472437","You're a lying pedophile.","obama-supports-gay-marriage","07:43 PM","gay-rights-debates","5"
"04-18-2013",1,"17119","195","Accipiter","472437","You're a lying pedophile.","Easyrider","472455","You need to get that Tourette's Syndrome looked at. It's not working for you, monkey paws.","obama-supports-gay-marriage","03:59 AM","gay-rights-debates","19"
"04-18-2013",1,"17119","196","Easyrider","472455","You need to get that Tourette's Syndrome looked at. It's not working for you, monkey paws.","Accipiter","472469","You need to get that You are a Mor on Syndrome looked at. It's not working for you because Jesus has monkey paws instead of hands which are grasping you penis right now.","obama-supports-gay-marriage","11:41 AM","gay-rights-debates","35"
"04-18-2013",1,"17119","197","Accipiter","472469","You need to get that You are a Mor on Syndrome looked at. It's not working for you because Jesus has monkey paws instead of hands which are grasping you penis right now.","Easyrider","472486","You're a deranged blood monkey.","obama-supports-gay-marriage","05:08 PM","gay-rights-debates","6"
"04-19-2013",1,"17119","198","Easyrider","472486","You're a deranged blood monkey.","Accipiter","472511","Actually thats pretty close to the truth, I murdered three people and got away with it.","obama-supports-gay-marriage","02:34 AM","gay-rights-debates","18"
"04-29-2013",2,"17119","204","Easyrider","472820","You probably think Jesus was a liberal too, huh nutbag?","Accipiter","472821","Jesus was a liberal? NO, Jesus was a POS and a liar. Your entire religion is a lie.","obama-supports-gay-marriage","02:41 AM","gay-rights-debates","22"
"04-29-2013",2,"17119","205","Accipiter","472821","Jesus was a liberal? NO, Jesus was a POS and a liar. Your entire religion is a lie.","Easyrider","472845","You're the liar (1 John 2:22).","obama-supports-gay-marriage","09:50 PM","gay-rights-debates","9"
"04-30-2013",2,"17119","206","Easyrider","472845","You're the liar (1 John 2:22).","Accipiter","472851","I learned how to lie from you. Posting passages from a book of lies is no use to anyone.","obama-supports-gay-marriage","02:38 AM","gay-rights-debates","21"
"06-09-2013",2,"17119","207","Accipiter","472851","I learned how to lie from you. Posting passages from a book of lies is no use to anyone.","Easyrider","473976","<Flush> You're probably the product of a bad gay sex experience.","obama-supports-gay-marriage","05:06 PM","gay-rights-debates","14"
"06-10-2013",2,"17119","209","Easyrider","473976","<Flush> You're probably the product of a bad gay sex experience.","Accipiter","473991","You have no room to talk, you have a gay son.","obama-supports-gay-marriage","04:12 AM","gay-rights-debates","13"
"06-15-2013",3,"17119","211","Easyrider","474001","LOL. There's nothing straight or normal about Accipiter. He might even be an alien, and not a smart one.","Accipiter","474260","I am beginning to think that your whole story about having a son is just more of your lies. Obviously you feel cheated by life or you would have a brighter outlook. The first step is admitting your pain publicly but you will not do that because you are a cowered and that is why Jesus hates your guts.","obama-supports-gay-marriage","04:49 AM","gay-rights-debates","62"
"06-23-2013",3,"17119","212","Accipiter","474260","I am beginning to think that your whole story about having a son is just more of your lies. Obviously you feel cheated by life or you would have a brighter outlook. The first step is admitting your pain publicly but you will not do that because you are a cowered and that is why Jesus hates your guts.","Easyrider","474591","You need professional help. And probably some Ex-lax too.","obama-supports-gay-marriage","10:56 AM","gay-rights-debates","11"
"06-23-2013",3,"17119","213","Easyrider","474591","You need professional help. And probably some Ex-lax too.","Accipiter","474593","You take Ex-lax for your spiritual constipation? What kind of message do you think that sends out? Never mind you dont think so an answer would be pointless and I bet it is.","obama-supports-gay-marriage","11:43 AM","gay-rights-debates","36"
"06-25-2013",3,"17119","214","Accipiter","474593","You take Ex-lax for your spiritual constipation? What kind of message do you think that sends out? Never mind you dont think so an answer would be pointless and I bet it is.","Easyrider","474673","Go change your diaper. You stink.","obama-supports-gay-marriage","01:53 PM","gay-rights-debates","8"
"06-25-2013",3,"17119","215","Easyrider","474673","Go change your diaper. You stink.","Accipiter","474677","I rest my case.","obama-supports-gay-marriage","03:14 PM","gay-rights-debates","5"
"07-09-2013",4,"17119","469","easyrider","475606","by the way, next time you're down and out, try finding a bitter atheist's homeless shelter .","Accipiter","475607","That's because there are no homeless atheists dumbass.","obama-supports-gay-marriage","10:56 PM","gay-rights-debates","9"
"07-10-2013",4,"17119","470","Accipiter","475607","That's because there are no homeless atheists dumbass.","Easyrider","475614","Yeah, there are, carp breath. Suddenly homeless atheist. I need advice and some tips : atheism","obama-supports-gay-marriage","06:59 AM","gay-rights-debates","20"
"07-10-2013",4,"17119","471","Easyrider","475614","Yeah, there are, carp breath. Suddenly homeless atheist. I need advice and some tips : atheism","Accipiter","475615","This is a lie posted by Cristian zealots to bring atheists to the evil side but it will not work because atheists are smarter than religious dumbasses like you.","obama-supports-gay-marriage","07:15 AM","gay-rights-debates","30"
"07-10-2013",4,"17119","472","Accipiter","475615","This is a lie posted by Cristian zealots to bring atheists to the evil side but it will not work because atheists are smarter than religious dumbasses like you.","Easyrider","475617","You're an imbecile.","obama-supports-gay-marriage","07:27 AM","gay-rights-debates","4"
"07-10-2013",4,"17119","473","Easyrider","475617","You're an imbecile.","Accipiter","475620","You're the devil.","obama-supports-gay-marriage","08:05 AM","gay-rights-debates","4"
"06-29-2013",5,"17119","228","ANorveyanFellow","474893","May as well toss my chip in here. Yes, I agree that gay marriage/gay lifestyle should be a legal option people have.","Easyrider","474920","You don't think gay sex is an abomination, like the Bible says? And if it is a sinful abomination, do you think God won't judge sinful people and/or sinful cities on earth?","obama-supports-gay-marriage","01:13 PM","gay-rights-debates","38"
"06-29-2013",5,"17119","229","Easyrider","474920","You don't think gay sex is an abomination, like the Bible says? And if it is a sinful abomination, do you think God won't judge sinful people and/or sinful cities on earth?","ANorveyanFellow","474927","As is almost every waking thing humanity has done for its entire existence. I am a filthy sinner, you are a filthy sinner, we're all filthy sinners. So please step off your high horse on this matter as if you are a more moral or deserving person in Gods eyes, you are not. We are saved by grace and grace alone. Homosexuality is immoral, this I believe. But I disagree with how it is blown out of proportion, as if it is the one sin to rule them all. Nonsense, it is an immoral act like any other of the immoral acts our race commits. So yes, I agree it is immoral. Doesn't mean gays shouldn't have the right to get married if they so choose. Jesus never forced his will upon people, he always gave them a choice in all things. Did he berate or condemn prostitutes and tax collectors for their immorality? Nope. He had lunch with them, socialized with them, treated them with kindness and love. And they chose to follow him. Jesus explained things, laid matters of right and wrong out how they were, and let people chose for themselves. So America making laws that gays cannot marry is frankly quite unbiblical as I see it.","obama-supports-gay-marriage","02:41 PM","gay-rights-debates","238"
"06-29-2013",5,"17119","230","ANorveyanFellow","474927","As is almost every waking thing humanity has done for its entire existence. I am a filthy sinner, you are a filthy sinner, we're all filthy sinners. So please step off your high horse on this matter as if you are a more moral or deserving person in Gods eyes, you are not. We are saved by grace and grace alone. Homosexuality is immoral, this I believe. But I disagree with how it is blown out of proportion, as if it is the one sin to rule them all. Nonsense, it is an immoral act like any other of the immoral acts our race commits. So yes, I agree it is immoral. Doesn't mean gays shouldn't have the right to get married if they so choose. Jesus never forced his will upon people, he always gave them a choice in all things. Did he berate or condemn prostitutes and tax collectors for their immorality? Nope. He had lunch with them, socialized with them, treated them with kindness and love. So America making laws that gays cannot marry is frankly quite unbiblical as I see it.","Easyrider","474970","Hey - I'm not the one coddling up to gay marriage. You should be ashamed backing that abomination when you know it's immoral. He told the adulteress to go and sin no more. He told another sinner that was healed to stop sinning or something worse would happen to him. He told the followers of Jezebel in Revelation chapter two that he would make those who commit adultery with her suffer intensely, unless they repent. And he cast Jezebel on a bed of suffering. And you're going to tell me there won't be any temporal consequences for gay sex sinners or those who support them? Get real. That's perfect. So let's legalize pedophilia, wife beating, support adultery, and all that other rot while we're at it, then. After all, God won't care or do anything, right? Very sad.","obama-supports-gay-marriage","11:18 PM","gay-rights-debates","157"
