"Date","Dialog_Turn","Discussion_Id","Post_Counter","Quote_Author","Quote_Id","Quote_Text","Response_Author","Response_Id","Response_Text","Subtopic","Time","Topic","Word_Count"
"07-03-2013","11","17119","353","Easyrider","475221","We see with the Muslims, for instance, that they train up their children to hate Jews, ...","Dani","475259","...and Jews would never teach their children to hate Arabs would they? zvod2x.jpg","obama-supports-gay-marriage","01:13 AM","gay-rights-debates",19
"07-03-2013","11","17119","356","Dani","475259","...and Jews would never teach their children to hate Arabs would they?","Easyrider","475265","Hey, if the Muslims want to keep launching rockets against Israel and blowing up their buses, then there's no reason not to hate the murdering thugs (or people like you who are apologists for the terrorists). Remember 9/11.","obama-supports-gay-marriage","08:54 AM","gay-rights-debates",44
"07-03-2013","11","17119","360","Easyrider","475265","Hey, if the Muslims want to keep launching rockets against Israel and blowing up their buses, then there's no reason not to hate the murdering thugs (or people like you who are apologists for the terrorists). Remember 9/11.","Dani","475274","Why don't you tell us what you would do if Canada started illegally occupying parts of the USA. Tell us what you would do if the Canadian army confiscated YOUR land, destroyed YOUR home, killed YOUR family and left you to starve. What would you do knob? The irony in your idiocy is that YOU are the one beating your chest about you will fight anyone that tries to take what belongs to you. YOU are the one boasting about laying traps to kill hundreds should any try to take from you, yet here you are castigating the Palestinians for doing exactly what you claim is your 'right ' to do to others. What an obnoxious, sickening bigot you are. I couldn't give a feck about 9/11","obama-supports-gay-marriage","09:33 AM","gay-rights-debates",138
"07-03-2013","11","17119","362","Dani","475274","Why don't you tell us what you would do if Canada started illegally occupying parts of the USA. Tell us what you would do if the Canadian army confiscated YOUR land, destroyed YOUR home, killed YOUR family and left you to starve. What would you do knob? The irony in your idiocy is that YOU are the one beating your chest about you will fight anyone that tries to take what belongs to you. YOU are the one boasting about laying traps to kill hundreds should any try to take from you, yet here you are castigating the Palestinians for doing exactly what you claim is your 'right' to do to others. What an obnoxious, sickening bigot you are. I couldn't give a feck about 9/11","Easyrider","475278","Well, we care about 9/11 over here. God, and the U.N., gave that land to Israel. And if you and the Palestinians don't like it you can go climb on a parking meter and rotate.","obama-supports-gay-marriage","10:30 AM","gay-rights-debates",41
"07-03-2013","11","17119","363","Easyrider","475278","Well, we care about 9/11 over here. God, and the U.N., gave that land to Israel.","Dani","475282","Oh you poor things! One terrorist attack (the biggest part of which could have been avoided if you hadn't been so incompetent) and you think the world has to feel sorry for you for ever more. Some of us in other countries had to live with terrorism on a DAILY basis for decades and we just got on with it. You need to put away the self-pity and do the same. I'm sure that the Palestinians would be happy to have the land that the UN allocated to them. It's the amount of that UN allocated land that is being illegally occupied by the Israeli aggressors that they are complaining about.","obama-supports-gay-marriage","12:23 PM","gay-rights-debates",119
"07-03-2013","11","17119","364","Dani","475282","Oh you poor things! One terrorist attack (the biggest part of which could have been avoided if you hadn't been so incompetent) and you think the world has to feel sorry for you for ever more. Some of us in other countries had to live with terrorism on a DAILY basis for decades and we just got on with it. You need to put away the self-pity and do the same. I'm sure that the Palestinians would be happy to have the land...","Easyrider","475283","One attack? My, my, you are historically-challenged. And sorry to burst your bubble but we don't wallow in pity. We go and kick their as*es, and we've been kicking them for quite some time now. I really don't give a rat's fanny what those people want. You feel sorry for them give them some land in Spain. Otherwise Dumi up.","obama-supports-gay-marriage","12:56 PM","gay-rights-debates",70
"07-03-2013","11","17119","367","Easyrider","475283","One attack? My, my, you are historically-challenged. And sorry to burst your bubble but we don't wallow in pity. We go and kick their as*es, and we've been kicking them for quite some time now. I really don't give a rat's fanny what those people want. You feel sorry for them give them some land in Spain.","Dani","475297","No clown! The arses you kicked were the arse that had absolutely nothing to do with the crime. Why should Spain give them land? They already have their own land in Palestine that the Israelis are illegally occupying. It is for the Israelis to give back the land that they have stolen. I notice you avoided this too.... ""Why don't you tell us what you would do if Canada started illegally occupying parts of the USA. Tell us what you would do if the Canadian army confiscated YOUR land, destroyed YOUR home, killed YOUR family and left you to starve. What would you do knob? The irony in your idiocy is that YOU are the one beating your chest about you will fight anyone that tries to take what belongs to you. YOU are the one boasting about laying traps to kill hundreds should any try to take from you, yet here you are castigating the Palestinians for doing exactly what you claim is your 'right' to do to others. What an obnoxious, sickening bigot you are.""","obama-supports-gay-marriage","03:55 PM","gay-rights-debates",197
"07-03-2013","11","17119","369","Dani","475297","No clown! The arses you kicked were the arse that had absolutely nothing to do with the crime. Why should Spain give them land? They already have their own land in Palestine that the Israelis are illegally occupying. It is for the Israelis to give back the land that they have stolen. I notice you avoided this too.... ""Why don't you tell us what you would do if Canada started illegally occupying parts of the USA. Tell us what you would do if the Canadian army confiscated YOUR land, destroyed YOUR home, killed YOUR family and left you to starve. What would you do knob? The irony in your idiocy is that YOU are the one beating your chest about you will fight anyone that tries to take what belongs to you. YOU are the one boasting about laying traps to kill hundreds should any try to take from you, yet here you are castigating the Palestinians for doing exactly what you claim is your 'right' to do to others. What an obnoxious, sickening bigot you are.""","Easyrider","475309","You're an imbecile.","obama-supports-gay-marriage","06:56 PM","gay-rights-debates",4
"07-04-2013","11","17119","372","Easyrider","475309","You're an imbecile.","Dani","475320","ANSWER! ""Tell us what you would do if Canada started illegally occupying parts of the USA. Tell us what you would do if the Canadian army confiscated YOUR land, destroyed YOUR home, killed YOUR family and left you to starve. What would you do knob? The irony in your idiocy is that YOU are the one beating your chest about how you will fight anyone that tries to take what belongs to you. YOU are the one boasting about laying traps to kill hundreds should anyone try to take from you, yet here you are castigating the Palestinians for doing exactly what you claim is your 'right' to do to others. What an obnoxious, sickening bigot you are.""","obama-supports-gay-marriage","03:04 AM","gay-rights-debates",133
"07-03-2013","12","17119","355","Dani","475257","Bravo! Well said. Sickos like EZ only hear about what is happening in Palestine from American pro-Israeli news programmes. It's you that is the ignorant jackass. You need to educate yourself on the Israeli-Palestinian conflict and perhaps then you wouldn't come across as such a clown. No doubt they would if the Israelis stopped stealing Palestinian land, destroying Palestinian homes and killing Palestinians. A good start would be for Israel to give back the Palestinian land that they stole from Palestine. He's not defending Muslims. He pointing out to you the injustice that Palestinians have suffered under the Israelis.","Easyrider","475264","Love the way you antichrist jackas*es stick up for the homophobic Muslims. I would think you'd be consistent and take the Muslims to task for hating and killing gays. But no, your anti-semitism wins the day. The Palestinians never had their own country, you imbecile. And you want to talk about me sucking up media lies? You want a long list of Muslim atrocities against the Jews just Google it. And don't forget the Olympic massacre of Jewish athletes at Munich.","obama-supports-gay-marriage","08:52 AM","gay-rights-debates",90
