"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"04-23-2005","4912",1,"None","None","None","Steeeeve","111128","I was watching the Bill Maher show today and they had Jane Fonda on. She mentioned that she has recently become a Christian and that HER god is one that supports a womens right to choice. Now there are so many problems with this that I don't even know where to start. Not only that, I am saying this as almost a ""newbie"" Christian as in I don't know everything there is to know about the Bible. However, I do know that the Christian God that is defined in the Bible is against abortion. Many argue that the Bible is not what the Christian God is because it has been translated into a meaningless document. How is this true when we have so many of the original scrolls? Moreever, how can one claim what God thinks if they don't have anything to base it on? For example if you say the Bible is worthless, you are a Christian, and God believes abortion is ok...then how did you come to this conclusion? The Christian God talks about how one is created before they were put in the womb. God also talks about not killing. So if you wish to be Christian and for abortion you need to rethink one of those stances. God doesn't conform to anyone.","christian-cant-support-abortion","12:19 AM","abortion-debates","1"
"04-23-2005","4912",1,"None","None","None","Voice Of Reason","111130","""Hanoi"" Jane is a disgrace to all Americans.........She should have been tried for treason in 1971......No true Vietnam Vet will ever accept her apology...... I don't condone that vet spitting on her but I don't blame him........ As far as the abortion issue goes there is no God that supports the murder of the innocent unborn in the womb........","christian-cant-support-abortion","12:29 AM","abortion-debates","2"
"04-23-2005","4912",1,"None","None","None","Steeeeve","111133","Jane Fonda's ""god"" does...although being your own god is not gonna cut it.","christian-cant-support-abortion","12:39 AM","abortion-debates","3"
"04-23-2005","4912",1,"None","None","None","Linus","111134","Christians cannot support abortion? Said who? Was it Pat ""I support forced abortions"" Robertson?? Do some research...fundamentalists from the far right would want you to believe without questioning that Christianity is solidly against abortion. However Christian theology and history have disproven this time and time again. In fact, Christianity's supposed stance against abortion is only very recent. For hundreds of years Christianity openly supported abortion before quickening. It is a dirty little secret that the ideological masters of the Christian-Con movement hope you never find out about because it would destroy them. The Bible falls completely silent on the issue of abortion. All direct condemnations on abortion found in the New Testament were quickly discarded as irrelevant by theologians. Christianity had it's chance at condemning abortion in the Bible and choose not to! For hundreds of years the Vatican supported abortion rights. Even it's most celebrated saints were not only outspoken supporters but blazed a path for theology to support it. And in early America, it wasn't rare for abortion services to be posted on Church bulletinboards. Again, these are facts that the pro-life/Christian-Con movement you never find out about. They would rather have you believe in lies instead for their political agendas.","christian-cant-support-abortion","12:41 AM","abortion-debates","4"
"04-23-2005","4912",1,"Voice Of Reason","None","As far as the abortion issue goes there is no God that supports the murder of the innocent unborn in the womb........","Linus","111136","So, how many unborn babies did your God drown in Genesis? Talk about hypocrisy.","christian-cant-support-abortion","12:46 AM","abortion-debates","5"
"04-23-2005","4912",1,"Linus","None","So, how many unborn babies did your God drown in Genesis? Talk about hypocrisy.","Cone","111137","What if the answer to that was 0? You have begged the question.","christian-cant-support-abortion","12:49 AM","abortion-debates","6"
"04-23-2005","4912",1,"Linus","None","However Christian theology and history have disproven this time and time again. In fact, Christianity's supposed stance against abortion is only very recent. For hundreds of years Christianity openly supported abortion before quickening. It is a dirty little secret that the ideological masters of the Christian-Con movement hope you never find out about because it would destroy them. The Bible falls completely silent on the issue of abortion. All direct condemnations on abortion found in the New Testament were quickly discarded as irrelevant by theologians. Christianity had it's chance at condemning abortion in the Bible and choose not to! For hundreds of years the Vatican supported abortion rights. Even it's most celebrated saints were not only outspoken supporters but blazed a path for theology to support it. And in early America, it wasn't rare for abortion services to be posted on Church bulletinboards. Again, these are facts that the pro-life/Christian-Con movement you never find out about. They would rather have you believe in lies instead for their political agendas.","Cone","111139","You crack me up. That was a nice rant that had absolutely nothing to do with anything. The essential question is not what various religous leaders have said about the issue, but what the Bible says about the issue.","christian-cant-support-abortion","12:57 AM","abortion-debates","7"
"04-23-2005","4912",1,"God","None","The Bible tells us God is involved in our creation from the womb: ""Did not He who made me in the womb make him, And the same one fashion us in the womb? (Job 31:15) Yet Thou art He who didst bring me forth from the womb; Thou didst make me trust when upon my mother's breasts. Upon Thee I was cast from birth; Thou hast been my God from my mother's womb. (Psalms 22:9-10) For Thou didst form my inward parts; Thou didst weave me in my mother's womb. I will give thanks to Thee, for I am fearfully and wonderfully made; Wonderful are Thy works, And my soul knows it very well. My frame was not hidden from Thee, When I was made in secret, And skillfully wrought in the depths of the earth. Thine eyes have seen my unformed substance; And in Thy book they were all written, The days that were ordained for me, When as yet there was not one of them. (Psalms 139:13-16) Thus says the LORD who made you And formed you from the womb, who will help you, `Do not fear, O Jacob My servant; And you Jeshurun whom I have chosen. (Isaiah 44:2) Thus says the LORD, your Redeemer, and the one who formed you from the womb, ""I, the LORD, am the maker of all things, Stretching out the heavens by Myself, And spreading out the earth all alone, (Isaiah 44:24) If men fight, and hurt a woman with child, so that she gives birth prematurely, yet no harm follows, he shall surely be punished accordingly as the woman's husband imposes on him; and he shall pay as the judges determine. But if any harm follows, then you shall give life for life","Steeeeve","111140","lol Linus...You provide no proof for this. However the Bible does say ""I create you before I placed you in the womb""...this would imply that God created you before you are even conceived. Now He also talked about how you can't kill an innocent person. Maybe you should read up a little bit about what the Bible says on abortion. Christians are supposed to believe in the Bible as it is the Word of God. You are supposed to be able to figure out anything that you have question on in the Bible (such as abortion, slavery, homosexuals etc..). Then Exodus says the following: Not that hard to figure out dude...What is your proof?","christian-cant-support-abortion","12:58 AM","abortion-debates","8"
"04-23-2005","4912",1,"Linus","None","I am not Christian","Steeeeve","111141","It shows by the way, only the creator of life can take it away according to the Bible.","christian-cant-support-abortion","01:00 AM","abortion-debates","9"
"04-23-2005","4912",1,"Cone","None","What if the answer to that was 0? You have begged the question.","Linus","111147","Then you would have to be believe that out of the supposed millions upon millions of people who walked the Earth none of them were pregnant and there were no newborns either. Then again, to be Christian, you also have to believe the world was created in 7 days and their was a Biblical great flood too. The best part about writing a fairytale is that the author gets to make up everything as they go along.","christian-cant-support-abortion","01:19 AM","abortion-debates","10"
