"Dialog_Turn","Date","Discussion_Id","Quote_Author","Quote_Id","Quote_Text","Response_Author","Response_Id","Response_Text","Subtopic","Topic","Post_Counter","Time"
"","09-13-2008","11563","Shooterandproud","322933","You think that 1.4 million more people flooding the adoption system and polluting the earth is good for society? Guess again.","yes","323626","instead of letting tramps kill babies - perhaps we should get the irresponsible degenerates FIXED like all the dogs that so many people want to help What the heck - let them screw like dogs and get their STD's & HIV THEY DON'T CARE - they refuse to take responsibility for their own actions ... JUST like a pack of dog's ... Let them get treated comparable to the way they act","watch-out-abortion-lovers-here-comes-governor-palin","abortion-debates","126","09:53 PM"
"","09-13-2008","11563","yes","323626","instead of letting tramps kill babies - perhaps we should get the irresponsible degenerates FIXED like all the dogs that so many people want to help What the heck - let them screw like dogs and get their STD's & HIV THEY DON'T CARE - they refuse to take responsibility for their own actions ... JUST like a pack of dog's ... Let them get treated comparable to the way they act","Shooterandproud","323644","You are making no sense. Its a little more complicated than that. First of all, humans are not dogs, and we have more rights than dogs. Second of all, how do you think people should take responsibility? Have kids? That sounds an awful lot like punishing women with unwanted pregnancies with children. Not a good idea, IMO. I am all for freedom of the people. If you don't like abortions, don't have them. Simple as that.","watch-out-abortion-lovers-here-comes-governor-palin","abortion-debates","137","11:51 PM"
"","09-13-2008","11563","yes","323642","... CHOICE ... how many choices do they need to screw up BEFORE YOU moral #### ants realize they are to self absorbed to make one DECENT ONE? to or not to associate with a dirt bag to or not to make out with a dirtbag to or not to open the legs for a dirtbag to or not to let the dirtbag hit the spot without any one or more of a multitude of contraceptives to or not to swallow and AFTER ALL those screwed up choices - you want them to rip life out of them? too bad YOUR MOTHER didn't abort the RIGHT FETUS","Shooterandproud","323645","A) Have fun in banland. B) I love how you call women who don't adhere to archaic Christian morals ""tramps"", and how you state ""women need to supervise their actions"". I smell a sexist.","watch-out-abortion-lovers-here-comes-governor-palin","abortion-debates","138","11:56 PM"
"","09-14-2008","11563","Shooterandproud","323645","A) Have fun in banland. B) I love how you call women who don't adhere to archaic Christian morals ""tramps"", and how you state ""women need to supervise their actions"". I smell a sexist.","yes","323656","may your ANTI morals infect your loose nearly NON EXISTENT moral pleasures with those diseases which you earn through your destructive pleasures ... WHO CARES? Sexually transmitted disease has gotten worse and more deadly but SO WHAT? Right? What you people FAIL TO HEAR is that you people screw up and THEN look to the government for a DEMANDED fix of your problem ... I am tired of paying tax to fix your mess also - I wish you mindless clones of social destruction could get past that B.S. Christian label I am NOT an advocate of Christianity as a true faith. My being Christian is comparable to ALL democrats being gay Unfortunately - it's not true! If ONLY you ALL were gay then there wouldn't be any abortion. what is the difference between people doing each other like dogs dogs doing each other like dogs MORALLY: not much! ETHICALLY: with dogs - it's acceptable to get them fixed because government extorted taxes can't be used to feed dogs and with dogs ( in most communities ) there are LEGALLY limitations to how many can live in a residence.","watch-out-abortion-lovers-here-comes-governor-palin","abortion-debates","139","10:19 AM"
"","09-14-2008","11563","yes","323656","may your ANTI morals infect your loose nearly NON EXISTENT moral pleasures with those diseases which you earn through your destructive pleasures ... WHO CARES? Sexually transmitted disease has gotten worse and more deadly but SO WHAT? Right? What you people FAIL TO HEAR is that you people screw up and THEN look to the government for a DEMANDED fix of your problem I am tired of paying tax to fix your mess also - I wish you mindless clones of social destruction could get past that B.S. Christian label I am NOT an advocate of Christianity as a true faith. what is the difference between people doing each other like dogs dogs doing each other like dogs MORALLY: not much! ETHICALLY: with dogs - it's acceptable to get them fixed because government extorted taxes can't be used to feed dogs and with dogs ( in most communities ) there are LEGALLY limitations to how many can live in a residence.","Shooterandproud","323666","Yes, they have. And what ""anti morals"" are you referring to? Do you wish everyone who does not adhere to your outdated belief system get a deadly STD? Um... no. Women with unwanted pregnancies want to fix it on their own by finding an abortion doctor. We want the government OUT of it. .. Good luck paying more tax for those 1.4million babies to be fed and clothed. What about all those wonderful carbon emissions and trash they will produce in their lifetime? This planet cannot afford more people. Good for you, however that does not do anything for you if you are still adhering to archaic ""morals"" Is this a joke? Once you learn some basic biology, then we can have a debate.","watch-out-abortion-lovers-here-comes-governor-palin","abortion-debates","141","12:54 PM"
"","09-14-2008","11563","yes","323672","You're right! I own it - bad example! I shouldn't insult such a fine beast like that. They claim they have morals ... yet to them, Gov Palin's daughter who has accepted and owns her error is lower than life Abortions are an Honorable solution! oops - they don't know honor!","Shooterandproud","323717","What's wrong with having an abortion?","watch-out-abortion-lovers-here-comes-governor-palin","abortion-debates","143","11:50 PM"
"","09-28-2008","11563","Shooterandproud","325530","Your unsupported and blind faith in any kind of creator is not valid in an intelligent debate unless you can provide proof.","yes","325531","yet your side has never proven there is no God ....","watch-out-abortion-lovers-here-comes-governor-palin","abortion-debates","418","08:40 PM"
"","09-29-2008","11563","yes","325531","yet your side has never proven there is no God ....","Shooterandproud","325647","You have not disproved the existence of the tooth fairy.","watch-out-abortion-lovers-here-comes-governor-palin","abortion-debates","449","06:27 PM"
"","09-30-2008","11563","Shooterandproud","325647","You have not disproved the existence of the tooth fairy.","yes","325688","hey - saw on TV some gut trying to look like a cat - with teeth ground down to fangs ... suppose that person could qualify as a tooth fairy","watch-out-abortion-lovers-here-comes-governor-palin","abortion-debates","451","04:49 AM"
"","09-30-2008","11563","yes","325688","hey - saw on TV some gut trying to look like a cat - with teeth ground down to fangs ... suppose that person could qualify as a tooth fairy","Shooterandproud","325802","Don't care what you saw on TV. You didn't answer my question.","watch-out-abortion-lovers-here-comes-governor-palin","abortion-debates","457","06:30 PM"
