"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"05-01-2007","9846",1,"None","None","None","TANSTAAFL'07","261211","Seriously, read my lips : its - a - FLAG. A peice of cloth. Its not ""disrespecting"" me or any other Marine to burn it, believe me. Spitting in my face or the face of my fellow brothers in the Marines or Army or Navy IS disrespect. You can only disrespect HUMAN BEINGS. A flag is not a HUMAN BEING. I had to salute the damn thing twice a day for morning and evening colors whenever I was in the states for 4 YEARS! Believe me, if people really cared about disrespect to ""our soldiers"" they would be up in arms every time an Officer purposely held everyone around the barracks for ""the word"" until midnight just to be a dick and screw us out of liberty or an NCO got drunk and beat up a PFC cause he didn't like the PFC's haircut. THATS real disrespect and abuse and no one seems to care. In reality the flag is just a way for Americans to feel attached to something most of them never had the guts to do themselves. They like the flag because it reminds them of infantry guys blowing stuff up and stealth bombers tearing across the sky. Things they never quite got around to doing. Well Im here as an infantryman to tell you that its OK if you burn a flag. GASP! Yes, I know! Shocking, but seriously I dont care. If you want to waste your hard earned money from your boring job that you hate to burn a flag to make up for you inadequacies go ahead. As long as its your flag and your matches go right ahead and be angry at daddy all you want. We won't stop you. Now if you burn the Texas or theTennessee flag we might have problems....","flag-burning-who-cares","07:13 PM","government-debates","1"
"05-01-2007","9846",1,"TANSTAAFL'07","261211","Seriously, read my lips : its - a - FLAG. A peice of cloth. Its not ""disrespecting"" me or any other Marine to burn it, believe me. Spitting in my face or the face of my fellow brothers in the Marines or Army or Navy IS disrespect. You can only disrespect HUMAN BEINGS. A flag is not a HUMAN BEING. I had to salute the damn thing twice a day for morning and evening colors whenever I was in the states for 4 YEARS! Believe me, if people really cared about disrespect to ""our soldiers"" they would be up in arms every time an Officer purposely held everyone around the barracks for ""the word"" until midnight just to be a dick and screw us out of liberty or an NCO got drunk and beat up a PFC cause he didn't like the PFC's haircut. THATS real disrespect and abuse and no one seems to care. In reality the flag is just a way for Americans to feel attached to something most of them never had the guts to do themselves. They like the flag because it reminds them of infantry guys blowing stuff up and stealth bombers tearing across the sky. Things they never quite got around to doing. Well Im here as an infantryman to tell you that its OK if you burn a flag. GASP! Yes, I know! Shocking, but seriously I dont care. If you want to waste your hard earned money from your boring job that you hate to burn a flag to make up for you inadequacies go ahead. As long as its your flag and your matches go right ahead and be angry at daddy all you want. We won't stop you. Now if you burn the Texas or theTennessee flag we might have problems....","Archangel","261220","I don't think of any of those things at all when I think of the flag my friend. I don't think about America's military superiority, nor do I feel personally superior to other people from other Countries. I think of the history that got us where we are. The lives of brave people lost in Wars so we can be free today and not speaking German or Japanese as our National language. I think of the close to a billion people who have migrated to this Country over the last 250 years seeking a better life for their descendants, and finding it no matter what State they migrated to. I think of religious freedom, freedom of speech, freedom of thought and freedom from Government oppression as long as one doesn't attempt to deny others of their freedoms to live in peace and unmolested. I thank God regularly that my Grandfather moved his wife and 5 children from an oppressive Syrian Government during our Great Depression. I marvel that even during one of the most difficult economic times of suffering in this great Country, my family was better off here than in the Country of our origin. As a first generation American I praise God for my life here and take great pride that our flag represents so many good things that the United States of America has represented to so many for so long. That is what the flag means to me so NO, I don't think it should be legal to burn it in order to make some political statement. With all of the freedoms of expression we do possess, I see no reason to burn our Nation Symbol in effigy.","flag-burning-who-cares","08:54 PM","government-debates","2"
"05-01-2007","9846",1,"Archangel","261220","I don't think of any of those things at all when I think of the flag my friend. I don't think about America's military superiority, nor do I feel personally superior to other people from other Countries. I think of the history that got us where we are. The lives of brave people lost in Wars so we can be free today and not speaking German or Japanese as our National language. I think of the close to a billion people who have migrated to this Country over the last 250 years seeking a better life for their descendants, and finding it no matter what State they migrated to. I think of religious freedom, freedom of speech, freedom of thought and freedom from Government oppression as long as one doesn't attempt to deny others of their freedoms to live in peace and unmolested. I thank God regularly that my Grandfather moved his wife and 5 children from an oppressive Syrian Government during our Great Depression. I marvel that even during one of the most difficult economic times of suffering in this great Country, my family was better off here than in the Country of our origin. As a first generation American I praise God for my life here and take great pride that our flag represents so many good things that the United States of America has represented to so many for so long. That is what the flag means to me so NO, I don't think it should be legal to burn it in order to make some political statement. With all of the freedoms of expression we do possess, I see no reason to burn our Nation Symbol in effigy.","Matthew S","261222","You know very well that many people worship the flag as if it were a God. Even many christians eagerly turn thier backs on christ to worship the flag. The flag is in many christian churches and flag worship can be seen in th emovie Jesus camp.","flag-burning-who-cares","09:25 PM","government-debates","3"
"05-01-2007","9846",1,"Matthew S","261222","You know very well that many people worship the flag as if it were a God. Even many christians eagerly turn thier backs on christ to worship the flag. The flag is in many christian churches and flag worship can be seen in th emovie Jesus camp.","Archangel","261223","*sigh* I personally don't know anyone who worships the flag, nor is hanging a flag in a church a call to pray to it. And how does your negative diatribe relate to my post in any way ?","flag-burning-who-cares","09:30 PM","government-debates","4"
"05-02-2007","9846",1,"None","None","None","TANSTAAFL'07","261242","Good Humor brother! Their comments are typical, bumper-sticker logic. And I get the impression that they've been doing this for WAY too long. They're probably fed up with actually reasoning and arguing by now.","flag-burning-who-cares","12:12 AM","government-debates","6"
"05-03-2007","9846",1,"None","None","None","obvious_child","261435","I find it amusing that more flags seemed to be burned when there is talk about banning flag burning. And IMO, the whole anti-flag burning laws seem like nothing more then politicians trying to distract the public from how they aren't doing their jobs and acting like leeches upon the American people. We have reckless financial policies in place, bring up gays and flag burning! We have serious healthcare problems, bring up gays and flag burning! We have massive border control problems, bring up gays and flag burning!","flag-burning-who-cares","01:01 AM","government-debates","7"
"05-03-2007","9846",1,"TANSTAAFL'07","261211","Spitting in my face or the face of my fellow brothers in the Marines or Army or Navy IS disrespect. You can only disrespect HUMAN BEINGS. A flag is not a HUMAN BEING. I had to salute the damn thing twice a day for morning and evening colors whenever I was in the states for 4 YEARS! Believe me, if people really cared about disrespect to ""our soldiers"" they would be up in arms every time an Officer purposely held everyone around the barracks for ""the word"" until midnight just to be a dick and screw us out of liberty or an NCO got drunk and beat up a PFC cause he didn't like the PFC's haircut. THATS real disrespect and abuse and no one seems to care. In reality the flag is just a way for Americans to feel attached to something most of them never had the guts to do themselves. They like the flag because it reminds them of infantry guys blowing stuff up and stealth bombers tearing across the sky. Things they never quite got around to doing. Well Im here as an infantryman to tell you that its OK if you burn a flag. GASP! Yes, I know! Shocking, but seriously I dont care. If you want to waste your hard earned money from your boring job that you hate to burn a flag to make up for you inadequacies go ahead. As long as its your flag and your matches go right ahead and be angry at daddy all you want. We won't stop you. Now if you burn the Texas or theTennessee flag we might have problems....","pandion","261438","I see. So you think that it was disrespectful for the picketers outside of military bases to spit on me, my brothers, and our brothers in arms? Why would you think that? I was proud to salute it whenever it was required. But I wasn't a Marine. In fact, I have known lots of Marines who were as proud to salute the flag as I was. I'm wondering why you had a problem. And that's mostly bullroar. Whatever point your commanding officer was trying to make, apparently you weren't able to understand. In my unit, a SSGT slapped a PVT in formation. He was lucky he lived because the unit broke formation and jumped the SSGT. Cooler heads dragged him away to the orderly room. The next time anyone saw him was 6 months later (after he got out of the stockade) with a PFC stripe. If the kind of thing that you describe goes on in the Corps, then the Corps has problems. Did that sentence actually have meaning to you when you typed it? Hogwash! Says who? My older brother was shot down over the highlands and my younger brother was overrun by a frontal assault at Cam Rahn. Well, I'm here as an artilleryman to tell you that it's not. Understand that I don't think that it should be illegal or unconstitutional. Such exercises are just a waste of time for Congress, who would rather discuss such issues than deal with health care, immigration, medicare, and one and on. I'm sure you don't. But I must say that you are not typical of any Marine that I have known. I see. A bit of projection here? As a Texan, it would't be a problem for me. The problem would be yours.","flag-burning-who-cares","01:56 AM","government-debates","8"
"05-03-2007","9846",1,"None","None","None","pandion","261440","Something in TANS' posts brought to mind an incident in my life. I can't find it now, but my thoughts go to the idea of a comrade in arms, whatever service. It was a different time. I was on in the Salt Lake City airport with an overlay of several hours. To pass the time, I began walking around the terminal. As I rounded one end where there was little traffic I saw 4 civilians who had an airman backed into a corner. I walked quickly around the corner and then ran to the first uniform that I saw. I shouted ""GI in trouble"", and pointed to another uniform and said, ""Get him."" I ran towards another uniform. But by that time, the uniforms were coming to us. There were 6 of us from 4 services who went back around the end of the terminal. No one said anything. The first sign these guys knew that they had a problem was when they realized that the airman was looking past them and smiling. They may have taken an elbow or two as they slinked past us. As I said, it was a different time when it was acceptable to spit on uniformed military. It was also OK to burn the flag. TANSTAAFL'07 seems to echo that time. Although it seems that he really doesn't know what he believes. He backed down at the first opposition - is he really a Marine?","flag-burning-who-cares","02:45 AM","government-debates","9"
"05-03-2007","9846",1,"Matthew S","261222","You know very well that many people worship the flag as if it were a God. Even many christians eagerly turn thier backs on christ to worship the flag. The flag is in many christian churches and flag worship can be seen in th emovie Jesus camp.","Zardoz","261461","As much as I don't support the WofF movement (Word of Faith) and pentacostal versions of Christianity, I will say you are 100% wrong on this. I've watched the movie (been in their presence dozens of times in personal review, and talked to followers) and they don't worship the flag.","flag-burning-who-cares","07:08 AM","government-debates","11"
"05-03-2007","9846",1,"None","None","None","E Mutz","261494","Just curious: Why is it acceptable for me to burn a flag on public property but not acceptable to burn leaves in my own lawn? Would it be permissible if I burned the leaves to protest the policies of the Department of the Interior? Could we eliminate flag burning by requiring flag burners to get a permit 6 weeks in advance of any scheduled flag burning? We want to protect the public and the fragile Earth from particulates and all that hooplah do we not?","flag-burning-who-cares","01:12 PM","government-debates","12"
